1	2	14.4204
1	3	63.37573
2	3	49.138
1	4	187.57667
2	4	176.0851
3	4	134.7844
1	5	252.22677
2	5	242.59834
3	5	206.72746
4	5	77.0605
1	6	284.30263
2	6	273.77499
3	6	234.51263
4	6	99.99203
5	6	39.06166
1	7	327.54051
2	7	315.5463
3	7	271.41792
4	7	140.48643
5	7	102.38879
6	7	64.87011
1	8	387.2824
2	8	374.2841
3	8	327.26377
4	8	205.83843
5	8	179.04316
6	8	141.84964
7	8	76.98182
1	9	549.65393
2	9	535.26211
3	9	486.49587
4	9	403.60084
5	9	404.88953
6	9	372.0703
7	9	309.53084
8	9	237.28431
1	10	610.16097
2	10	595.76827
3	10	547.00501
4	10	462.57519
5	10	460.5158
6	10	426.47166
7	10	362.80953
8	10	288.19678
9	10	60.50918
1	11	794.5497
2	11	780.15085
3	11	731.42809
4	11	644.69602
5	11	636.68041
6	11	600.73718
7	11	535.99129
8	11	459.27504
9	11	244.9521
10	11	184.45438
1	12	815.23428
2	12	800.81453
3	12	752.44462
4	12	670.85682
5	12	666.43758
6	12	631.22035
7	12	566.74226
8	12	490.48249
9	12	267.90884
10	12	208.29734
11	12	41.4764
1	13	925.11847
2	13	910.70789
3	13	862.10673
4	13	776.05952
5	13	766.80939
6	13	730.43442
7	13	665.58893
8	13	588.67759
9	13	375.90366
10	13	315.49876
11	13	131.42897
12	13	112.38408
