OTU_ID	1	2	3	4	5	6	7	8	9	10	11	12	13	Frequency
3511	0	1	0	0	0	0	0	0	0	1	0	0	0	2
4416	0	1	0	0	0	0	0	0	0	0	0	0	1	2
5358	0	0	0	0	0	0	0	0	0	0	0	1	1	2
2839	0	1	0	0	0	0	0	0	0	0	0	0	1	2
3181	0	0	1	0	0	1	0	0	0	0	0	0	0	2
5474	0	0	0	0	0	0	1	0	0	0	0	0	1	2
5079	0	1	0	0	1	0	0	0	0	0	0	0	0	2
5225	0	0	0	0	0	0	0	0	1	0	0	1	0	2
3597	0	0	0	1	0	0	0	0	0	0	0	1	0	2
4455	0	0	0	0	0	0	0	0	0	0	0	1	1	2
5348	0	0	0	1	0	1	0	0	0	0	0	0	0	2
4731	0	0	0	1	1	0	0	0	0	0	0	0	0	2
3615	0	0	0	0	0	0	0	1	1	0	0	0	0	2
4466	0	1	0	0	0	0	1	0	0	0	0	0	0	2
5441	0	0	1	0	0	0	0	0	0	1	0	0	0	2
5192	0	0	0	0	0	0	0	0	0	0	1	0	1	2
2270	0	0	0	0	0	1	0	0	0	1	0	0	0	2
4488	0	0	1	0	0	0	0	0	1	0	0	0	0	2
5306	0	0	0	1	0	0	0	0	0	0	0	1	0	2
5175	0	1	0	0	0	0	0	0	1	0	0	0	0	2
5122	0	0	0	0	0	1	1	0	0	0	0	0	0	2
4107	0	0	1	0	0	0	0	0	1	0	0	0	0	2
4228	0	0	0	0	0	0	0	0	1	0	0	1	0	2
2956	0	0	0	0	0	0	1	0	0	0	0	1	0	2
2523	0	0	0	0	0	0	1	1	0	0	0	0	0	2
5298	0	0	0	0	0	0	0	0	1	1	0	0	0	2
3609	0	0	1	1	0	0	0	0	0	0	0	0	0	2
2337	0	0	0	1	0	0	0	0	0	0	0	0	1	2
4887	0	0	0	0	0	0	0	0	0	0	0	1	1	2
2799	0	0	0	0	0	0	0	1	0	0	1	0	0	2
3187	0	0	0	1	1	0	0	0	0	0	0	0	0	2
3467	0	0	1	1	0	0	0	0	0	0	0	0	0	2
3944	0	0	0	0	0	1	0	0	0	0	0	1	0	2
3975	0	0	0	0	0	0	0	0	1	0	1	0	0	2
4125	0	0	0	0	0	0	0	0	1	0	1	0	0	2
1405	0	0	0	0	1	0	0	0	0	0	1	0	0	2
2524	0	0	0	1	0	0	0	0	0	0	0	0	1	2
3947	0	0	0	0	0	0	1	0	0	0	1	0	0	2
3632	0	0	0	0	1	0	1	0	0	0	0	0	0	2
4667	0	0	0	0	0	0	1	0	0	0	0	0	1	2
5370	0	0	0	0	0	0	0	0	0	0	0	1	1	2
5364	0	0	0	0	0	0	0	0	0	0	1	0	1	2
3771	0	1	0	0	0	0	0	0	0	1	0	0	0	2
3004	0	0	0	0	0	0	0	1	1	0	0	0	0	2
3833	0	0	0	0	0	0	0	1	0	1	0	0	0	2
3654	0	0	0	0	0	0	0	0	0	1	0	1	0	2
1209	1	1	0	0	0	0	0	0	0	0	0	0	0	2
3630	1	0	0	0	1	0	0	0	0	0	0	0	0	2
4744	0	0	0	0	0	1	0	1	0	0	0	0	0	2
5558	0	1	0	0	1	0	0	0	0	0	0	0	0	2
5177	0	0	1	0	0	0	0	0	1	0	0	0	0	2
4297	0	0	0	0	1	1	0	0	0	0	0	0	0	2
4764	0	0	0	0	0	0	1	0	0	0	0	0	1	2
4831	0	0	0	0	1	0	1	0	0	0	0	0	0	2
4296	0	0	1	0	1	0	0	0	0	0	0	0	0	2
4790	0	1	0	1	0	0	0	0	0	0	0	0	0	2
3167	0	0	0	1	1	0	0	0	0	0	0	0	0	2
5023	0	1	0	0	0	0	0	0	0	0	0	0	1	2
5487	0	0	0	0	0	0	0	1	0	1	0	0	0	2
4736	0	0	0	0	0	0	0	1	1	0	0	0	0	2
5028	0	0	0	1	0	0	0	0	1	0	0	0	0	2
3520	0	0	0	0	0	0	0	0	0	1	0	0	1	2
3108	0	0	0	0	0	0	0	1	0	0	0	1	0	2
306	1	0	1	0	0	0	0	0	0	0	0	0	0	2
5287	0	0	0	0	0	0	0	0	0	1	0	0	1	2
5435	0	0	0	0	0	0	0	0	1	1	0	0	0	2
4930	0	0	1	0	0	0	0	1	0	0	0	0	0	2
3844	0	0	0	0	0	0	0	0	1	1	0	0	0	2
2840	0	0	0	0	0	0	0	1	0	1	0	0	0	2
2156	0	0	0	0	0	0	0	0	0	1	1	0	0	2
